newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma,nu,pi1,pi2,pi3,pi4,pi5,pi6,lpi1,lpi2,lpi3,lpi4,lpi5,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
"Splash","Splash",6.3534391,.25,.025,.0005,81,63.8,"55","M","N","N","DIS","",76.5,45,13,9.873e-08,3.538e-06,.00038531,.00073369,.99887736,.99887736,1000,64,.96,630.72169,1.111e+08,.01736111,.02,3.2918125,164.59062,6.4468647,18.526041,-4.0535225,-3.912023,1.1914383,3,1,.9998758,1,"Splash",.10470278,.17275691,.36417431,.0780022,.28036379
"Splash","Splash",6.3534391,.25,.025,.0015,81,70.8,"76","M","N","N","SD","",85,46,14,3.195e-07,.00001145,.00124583,.00236637,.99637604,.99637604,1000,64,.96,630.72169,1.111e+08,.15625,.06,9.7734198,162.89033,6.4468647,18.526041,-1.856298,-2.8134107,2.2796664,3,1,.9988633,1,"Splash",.08568355,.14962345,.35397001,.08358802,.32713497
"Splash","Splash",6.3534391,.25,.025,.003,81,75.3,"88","M","N","N","Ring","",90.4,47,15,1.860e-06,.00006665,.0072087,.01345808,.9792647,.9792647,1000,64,.96,630.72169,1.111e+08,.62500001,.12,19.248571,160.40476,6.4468647,18.526041,-.47000361,-2.1202635,2.9574368,3,1,.9620799,1,"Splash",.06348894,.11858441,.32722501,.0887626,.40193903
"Splash","Splash",6.3534391,.25,.025,.004,81,79.7,"94","M","Y","N","SD","",95.6,48,16,6.020e-06,.00021567,.02295162,.04095639,.9358703,.9358703,1000,64,.96,630.72169,1.111e+08,1.1111112,.16000001,25.40631,158.78943,6.4468647,18.526041,.10536061,-1.8325814,3.2349976,3,1,.672582,1,"Splash",.05206888,.10073436,.30399944,.08980497,.45339234
"Intact Sheet","Intact Sheet",6.3534391,1,.01,.0005,81,30.1,"N","N","N","N","Stuck","",36.1,49,1,.00419081,.13002435,.80891874,.03641884,.02044725,.80891874,1000,106,2.1,380.81309,2.404e+08,.00600907,.05,1.5067384,30.134765,5.9423087,19.29766,-5.1144851,-2.9957322,.40994729,2,0,.0699723,0,"Broken or Intact Sheet",.11056022,.17929261,.36568277,.07624126,.26822315
"Intact Sheet","Intact Sheet",6.3534391,1,.01,.0015,81,33,"N","N","N","N","Stuck","",39.6,50,2,.01343633,.32064191,.64763109,.0118818,.00640887,.64763109,1000,106,2.1,380.81309,2.404e+08,.05408163,.15,4.4847261,29.898173,5.9423087,19.29766,-2.9172606,-1.89712,1.5006774,2,0,.0294634,0,"Broken or Intact Sheet",.10094271,.16841945,.36284555,.07913089,.28866139
"Crater","Crater",6.3534391,1,.01,.003,81,33.1,"N","N","N","Y","Stuck","Fill back",39.7,51,3,.07346295,.67147535,.25187157,.0020834,.00110673,.67147535,1000,106,2.1,380.81309,2.404e+08,.21632653,.30000001,8.865051,29.550169,5.9423087,19.29766,-1.5309663,-1.2039728,2.1821167,2,0,.0071458,0,"Crater",.08814678,.15279135,.35583018,.08289222,.32033947
"Crater","Crater",6.3534391,1,.01,.004,81,29.5,"N","N","N","Y","Stuck","Fill back",35.4,52,4,.20419518,.7001263,.09469057,.0006457,.00034225,.7001263,1000,106,2.1,380.81309,2.404e+08,.38458054,.40000003,11.729054,29.322633,5.9423087,19.29766,-.95560206,-.91629066,2.462069,2,0,.0026092,0,"Crater",.0805911,.14290456,.34951629,.084977,.34201106
"Intact Sheet","Intact Sheet",6.3534391,1,.015,.0005,81,37.9,"N","N","N","Y","Stuck","",45.5,53,5,.00119151,.04090122,.78250667,.10681132,.06858929,.78250667,1000,106,2.1,380.81309,1.068e+08,.00600907,.03333334,1.5067384,45.202148,5.9423087,18.48673,-5.1144851,-3.4011973,.40994729,3,0,.2150306,0,"Broken or Intact Sheet",.11056022,.17929261,.36568277,.07624126,.26822315
"Intact Sheet","Intact Sheet",6.3534391,1,.015,.0015,81,47.2,"N","N","N","N","Stuck","",56.6,54,6,.00384569,.12065525,.81382422,.03942587,.02224898,.81382422,1000,106,2.1,380.81309,1.068e+08,.05408163,.1,4.4847261,44.847259,5.9423087,18.48673,-2.9172606,-2.3025851,1.5006774,3,0,.0969038,0,"Broken or Intact Sheet",.10094271,.16841945,.36284555,.07913089,.28866139
